protID,filesize,which.repo
0401173A,2602798,ESM1b_IEDB_LBCE_proteins_1
0501217A,1442846,ESM1b_IEDB_LBCE_proteins_1
0507192A,594105,ESM1b_IEDB_LBCE_proteins_1
0511311A,1981443,ESM1b_IEDB_LBCE_proteins_1
0704243A,1909177,ESM1b_IEDB_LBCE_proteins_1
0704243B,1100519,ESM1b_IEDB_LBCE_proteins_1
0704313A,2638352,ESM1b_IEDB_LBCE_proteins_1
0705172A,2242945,ESM1b_IEDB_LBCE_proteins_1
0804188A,2942198,ESM1b_IEDB_LBCE_proteins_1
0909229A,613353,ESM1b_IEDB_LBCE_proteins_1
1000704,6659276,ESM1b_IEDB_LBCE_proteins_1
1001624560,1912986,ESM1b_IEDB_LBCE_proteins_1
1002707582,4011171,ESM1b_IEDB_LBCE_proteins_1
1002819318,4791058,ESM1b_IEDB_LBCE_proteins_1
1003243A,1181948,ESM1b_IEDB_LBCE_proteins_1
1004170652,2667466,ESM1b_IEDB_LBCE_proteins_1
1004170666,862609,ESM1b_IEDB_LBCE_proteins_1
1004393738,1889082,ESM1b_IEDB_LBCE_proteins_1
10047104,456981,ESM1b_IEDB_LBCE_proteins_1
10047177,9813634,ESM1b_IEDB_LBCE_proteins_1
10047179,4675781,ESM1b_IEDB_LBCE_proteins_1
10047265,2741747,ESM1b_IEDB_LBCE_proteins_1
10047279,5811655,ESM1b_IEDB_LBCE_proteins_1
10047289,7722297,ESM1b_IEDB_LBCE_proteins_1
10047337,5230248,ESM1b_IEDB_LBCE_proteins_1
1006226A,1697227,ESM1b_IEDB_LBCE_proteins_1
1006233A,1280460,ESM1b_IEDB_LBCE_proteins_1
1006599006,3401036,ESM1b_IEDB_LBCE_proteins_1
1006668,3438408,ESM1b_IEDB_LBCE_proteins_1
1007216A,3106800,ESM1b_IEDB_LBCE_proteins_1
1008915,1395706,ESM1b_IEDB_LBCE_proteins_1
10092619,1850283,ESM1b_IEDB_LBCE_proteins_1
10092621,1469028,ESM1b_IEDB_LBCE_proteins_1
1010222144,4425114,ESM1b_IEDB_LBCE_proteins_1
1011750866,2604819,ESM1b_IEDB_LBCE_proteins_1
10119776,3238494,ESM1b_IEDB_LBCE_proteins_1
1012443626,3473947,ESM1b_IEDB_LBCE_proteins_1
10129690,3370859,ESM1b_IEDB_LBCE_proteins_1
10130126,4161809,ESM1b_IEDB_LBCE_proteins_1
1013181363,2043142,ESM1b_IEDB_LBCE_proteins_1
1013368082,2043316,ESM1b_IEDB_LBCE_proteins_1
1013406844,2193210,ESM1b_IEDB_LBCE_proteins_1
10140847,2189188,ESM1b_IEDB_LBCE_proteins_1
1015172279,5071403,ESM1b_IEDB_LBCE_proteins_1
1015177035,3900799,ESM1b_IEDB_LBCE_proteins_1
1015576832,2776231,ESM1b_IEDB_LBCE_proteins_1
1015809800,5708886,ESM1b_IEDB_LBCE_proteins_1
1016080622,7190975,ESM1b_IEDB_LBCE_proteins_1
1016470365,1952126,ESM1b_IEDB_LBCE_proteins_1
1016470462,1269859,ESM1b_IEDB_LBCE_proteins_1
1016840972,1257621,ESM1b_IEDB_LBCE_proteins_1
1017029399,3550529,ESM1b_IEDB_LBCE_proteins_1
10181096,7128516,ESM1b_IEDB_LBCE_proteins_1
1018443345,5671835,ESM1b_IEDB_LBCE_proteins_1
10190670,2120255,ESM1b_IEDB_LBCE_proteins_1
10190704,1705162,ESM1b_IEDB_LBCE_proteins_1
1019445,6579134,ESM1b_IEDB_LBCE_proteins_1
10198656,3331559,ESM1b_IEDB_LBCE_proteins_1
1020315,4226460,ESM1b_IEDB_LBCE_proteins_1
1020738643,3391289,ESM1b_IEDB_LBCE_proteins_1
1021087267,5743148,ESM1b_IEDB_LBCE_proteins_1
1021312222,3922941,ESM1b_IEDB_LBCE_proteins_1
1021589292,2595364,ESM1b_IEDB_LBCE_proteins_1
10241694,3896275,ESM1b_IEDB_LBCE_proteins_1
1024336677,561879,ESM1b_IEDB_LBCE_proteins_1
1024336729,3146620,ESM1b_IEDB_LBCE_proteins_1
1024336731,3277411,ESM1b_IEDB_LBCE_proteins_1
1026944008,1210297,ESM1b_IEDB_LBCE_proteins_1
1032030650,2300770,ESM1b_IEDB_LBCE_proteins_1
1034554520,8676050,ESM1b_IEDB_LBCE_proteins_1
1034554522,7239432,ESM1b_IEDB_LBCE_proteins_1
1034554799,2300973,ESM1b_IEDB_LBCE_proteins_1
1034554819,3150648,ESM1b_IEDB_LBCE_proteins_1
